OS:SpaceType,,,,,,,,,,,,,OS:People:Definition,,,,,,,,,,,,,,,,,,OS:DesignSpecification:OutdoorAir,,,,,,,,,,,,OS:ElectricEquipment:Definition,,,,,,,,,,OS:Lights:Definition,,,,,,,,,OS:GasEquipment:Definition,,,,,,,,,,,OS:SpaceInfiltration:DesignFlowRate,,,,,,,,,,,OS:InternalMass:Definition,,,,,,,,,,,,,,,,
,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
AIRFLOW RATE IN 
BREATHING ZONE Rp 
CFM/PERSON ",!- Outdoor Air Flow per Person {m3/s-person},"AREA OUTDOOR 
AIRFLOW RATE IN 
BREATHING ZONE Ra 
CFM/FT2a ",!- Outdoor Air Flow per Floor Area {m3/s-m2},"EXHAUST 
AIRFLOW RATE 
CFM/FT
2 ","EXHAUST 
AIRFLOW RATE 
m3/s-m2",!- Outdoor Air Flow Air Changes per Hour {1/hr},Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,Default  Power Density (W/ft2),!- Watts per Space Floor Area {W/m2},!- Fraction Latent,!- Fraction Radiant,!- Fraction Lost,Source_1,Source_2,Additional Info,!- Name,Electric Equipment Schedule,Default  Power Density (W/ft2),!- Watts per Space Floor Area {W/m2},!- Fraction Radiant,!- Fraction Visible,Source_1,Source_2,Additional Info,!- Name,Lighting Schedule,Interior Gas Appliance Power Density       (W/ft2),Interior Gas Appliance Power Density       (Btu/h-ft2),!- Power per Zone Floor Area {W/m2},!- Fraction Latent,!- Fraction Radiant,!- Fraction Lost,Source_1,Source_2,Additional Info,!- Name,Gas Equipment Schedule,Infiltration per Exterior Area (ft^3/min*ft^2 ext),!- Air Changes per Hour {1/hr},!- Flow per Exterior Surface Area {m3/s-m2},Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,Infiltration Schedule,Building Type,Space Type,!- Surface Area {m2},!- Surface Area per Space Floor Area {dimensionless},!- Surface Area per Person {m2/person}, !- Roughness, !- Thickness {m}, !- Conductivity {W/m-K}, !- Density {kg/m3}, !- Specific Heat {J/kg-K},  !- Thermal Absorptance,  !- Solar Absorptance,  !- Visible Absorptance, !- Name,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name
d83d8e85-c973-43f1-8010-e8f36dc62725,464b7a91-abc0-48af-b607-07922fa703df,789d7a7f-91a3-4dde-9310-9a74c14d32e5,c3101f12-7b66-41ad-90b5-0c5afec65227,,,,,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,,,1f550d2e-d956-4855-8f6c-850193633ba2,,,,,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,,,,,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,,,41dd9f25-8df0-46e6-9f29-cceef9210ae8,,,,,f8a27cd2-f746-4301-a112-59d13e40d78d,,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,,,,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,,,,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,,,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,,,,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,,306e4282-557a-4c79-a31e-dbe513817f52,821df950-1005-42a1-bb71-94e21d06f843,,,,,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,,,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,,,,,65c47774-d0bf-4ce9-ba77-1b1304459dc7
BA Automotive Facility,NCC2025_AU,Automotive Facility,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Automotive Facility_NCC2025AU,BA Automotive Facility_NCC2025AUScheduleSet,143,6.993006993,0.075272133,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Automotive FacilityPeopleDef,NECB-E-Occupancy,BA Automotive FacilityActivity,,,0.25,0.00127,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Automotive FacilityVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 8 (Automotive/other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Automotive FacilityElectricalEquipDef,NECB-E-Electric-Equipment,0.730000,7.85765,0.37,0.2,IECC Table C405.3.2(1),,Automotive facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA Automotive FacilityLightingDef,NECB-E-Lighting,0.220816136,0.753424658,8.109863014,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Automotive FacilityGasEquipDef,NECB-E-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Automotive FacilityInfil,Always On,Automotive facility,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Convention Center,NCC2025_AU,Convention Center,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Convention Center_NCC2025AU,BA Convention Center_NCC2025AUScheduleSet,20,50,0.538195753,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Convention CenterPeopleDef,NCC-C9bConference-Occupancy,BA Convention CenterActivity,,,0.31,0.0015748,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Convention CenterVent,0.747607993,8.047252432,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Convention CenterElectricalEquipDef,NCC-C9bConference-LightingEquipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (nearest; Class 9b conference has a special 150W/room+10W/person provision, not populated pending room-count assumption); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Convention CenterLightingDef,NCC-C9bConference-LightingEquipment,0.006691398,0.02283105,0.245753425,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Convention CenterGasEquipDef,NECB-C-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Convention CenterInfil,Always On,Convention centre,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Courthouse,NCC2025_AU,Courthouse,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Courthouse_NCC2025AU,BA Courthouse_NCC2025AUScheduleSet,14,71.42857143,0.768851075,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA CourthousePeopleDef,NECB-A-Occupancy,BA CourthouseActivity,,,0.41,0.0020828,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA CourthouseVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b special (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA CourthouseElectricalEquipDef,NECB-A-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Courtroom; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA CourthouseLightingDef,NECB-A-Lighting,0.050185486,0.171232877,1.843150685,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA CourthouseGasEquipDef,NECB-A-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA CourthouseInfil,Always On,Courthouse,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Bar Lounge/Leisure,NCC2025_AU,Dining: Bar Lounge/Leisure,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Dining: Bar Lounge/Leisure_NCC2025AU,BA Dining: Bar Lounge/Leisure_NCC2025AUScheduleSet,10,100,1.076391505,272.97,80.00,272.97,80.00,,,160.00,0.500000000,NCC S35C2n,Dining room/restaurant/cafe,,,NCC S35C2nBA Dining: Bar Lounge/LeisurePeopleDef,NCC-C6Restaurant-Occupancy,BA Dining: Bar Lounge/LeisureActivity,,,0.93,0.0047244,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Dining: Bar Lounge/LeisureVent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 6 cafe/restaurant; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Dining: Bar Lounge/LeisureElectricalEquipDef,NCC-C6Restaurant-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,"Restaurant, cafe, bar, hotel lounge...; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Dining: Bar Lounge/LeisureLightingDef,NCC-C6Restaurant-Lighting,5.138993721,17.53424658,188.7386301,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Dining: Bar Lounge/LeisureGasEquipDef,RestaurantFastFood BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Dining: Bar Lounge/LeisureInfil,Always On,Dining - bar/lounge,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Cafeteria/Fast Food,NCC2025_AU,Dining: Cafeteria/Fast Food,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Dining: Cafeteria/Fast Food_NCC2025AU,BA Dining: Cafeteria/Fast Food_NCC2025AUScheduleSet,10,100,1.076391505,272.97,80.00,272.97,80.00,,,160.00,0.500000000,NCC S35C2n,Dining room/restaurant/cafe,,,NCC S35C2nBA Dining: Cafeteria/Fast FoodPeopleDef,NCC-C6Restaurant-Occupancy,BA Dining: Cafeteria/Fast FoodActivity,,,0.93,0.0047244,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Dining: Cafeteria/Fast FoodVent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 6 cafe/restaurant; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Dining: Cafeteria/Fast FoodElectricalEquipDef,NCC-C6Restaurant-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,"Restaurant, cafe, bar, hotel lounge...; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Dining: Cafeteria/Fast FoodLightingDef,NCC-C6Restaurant-Lighting,5.138993721,17.53424658,188.7386301,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Dining: Cafeteria/Fast FoodGasEquipDef,RestaurantFastFood BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Dining: Cafeteria/Fast FoodInfil,Always On,Dining - cafeteria,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Family,NCC2025_AU,Dining: Family,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Dining: Family_NCC2025AU,BA Dining: Family_NCC2025AUScheduleSet,14,71.42857143,0.768851075,272.97,80.00,272.97,80.00,,,160.00,0.500000000,NCC S35C2n,Dining room/restaurant/cafe,,,NCC S35C2nBA Dining: FamilyPeopleDef,NCC-C6Restaurant-Occupancy,BA Dining: FamilyActivity,,,0.71,0.0036068,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Dining: FamilyVent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 6 cafe/restaurant; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Dining: FamilyElectricalEquipDef,NCC-C6Restaurant-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,"Restaurant, cafe, bar, hotel lounge...; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Dining: FamilyLightingDef,NCC-C6Restaurant-Lighting,5.138993721,17.53424658,188.7386301,0.05,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Dining: FamilyGasEquipDef,RestaurantSitDown BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Dining: FamilyInfil,Always On,Dining - family,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dormitory,NCC2025_AU,Dormitory,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Dormitory_NCC2025AU,BA Dormitory_NCC2025AUScheduleSet,100,10,0.107639151,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA DormitoryPeopleDef,NCC-C3-Occupancy,BA DormitoryActivity,,,0.11,0.0005588,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA DormitoryVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 3 dormitories - no load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA DormitoryElectricalEquipDef,NCC-C3-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Dormitory of a Class 3 building used for sleeping and study; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA DormitoryLightingDef,NCC-C3-Lighting,0.204087641,0.696347032,7.495479452,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA DormitoryGasEquipDef,ApartmentMidRise EQP_APT_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA DormitoryInfil,Always On,Dormitory,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Exercise Center,NCC2025_AU,Exercise Center,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Exercise Center_NCC2025AU,BA Exercise Center_NCC2025AUScheduleSet,100,10,0.107639151,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Exercise CenterPeopleDef,NECB-B-Occupancy,BA Exercise CenterActivity,,,0.26,0.0013208,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Exercise CenterVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Exercise CenterElectricalEquipDef,NECB-B-Electric-Equipment,0.720000,7.75002,0.37,0.2,IECC Table C405.3.2(1),,Exercise center; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA Exercise CenterLightingDef,NECB-B-Lighting,0.006691398,0.02283105,0.245753425,0.05,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Exercise CenterGasEquipDef,HotelSmall ExerciseCenter_Eqp_Sch,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Exercise CenterInfil,Always On,Exercise centre,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
