Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
Always Off,Elevator,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.1,0.2,0.4,0.5,0.5,0.35,0.15,0.15,0.15,0.15,0.15,0.15,0.35,0.5,0.5,0.4,0.4,0.3,0.2,0.1,From DOE Prototype Buildings
Always Off,Elevator,,SmrDsn,1-Jan,31-Dec,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Elevator,,WntrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,29.4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,23.9,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,29.4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,29.4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
Always Off,Thermostat Setpoint,C,WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
Always Off,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
