d83d8e85-c973-43f1-8010-e8f36dc62725,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,1f550d2e-d956-4855-8f6c-850193633ba2,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,41dd9f25-8df0-46e6-9f29-cceef9210ae8,f8a27cd2-f746-4301-a112-59d13e40d78d,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,821df950-1005-42a1-bb71-94e21d06f843,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,65c47774-d0bf-4ce9-ba77-1b1304459dc7
BA Automotive Facility,255,255,255,BA Automotive Facility_2021WABuilding Code,BA Automotive Facility_2021WABuilding CodeScheduleSet,0.075272133,293.0832356,97,120,0.375,COMNET-REV9WholeBuildingBA Automotive FacilityPeopleDef,NECB-E-Occupancy,BA Automotive FacilityActivity,,1.18E-04,,COMNET-REV9WholeBuildingBA Automotive FacilityVent,5.417004309,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Automotive FacilityElectricalEquipDef,NECB-E-Electric-Equipment,6.88896,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Automotive facilityLightingDef,NECB-E-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Automotive FacilityGasEquipDef,NECB-E-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Automotive FacilityInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Convention Center,255,255,255,BA Convention Center_2021WABuilding Code,BA Convention Center_2021WABuilding CodeScheduleSet,0.538195753,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Convention CenterPeopleDef,NECB-C-Occupancy,BA Convention CenterActivity,,1.46E-04,,COMNET-REV9WholeBuildingBA Convention CenterVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Convention CenterElectricalEquipDef,NECB-C-Electric-Equipment,6.88896,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Convention centerLightingDef,NECB-C-Lighting,0.245753425,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Convention CenterGasEquipDef,NECB-C-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Convention CenterInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Courthouse,255,255,255,BA Courthouse_2021WABuilding Code,BA Courthouse_2021WABuilding CodeScheduleSet,0.768851075,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA CourthousePeopleDef,NECB-A-Occupancy,BA CourthouseActivity,,1.93E-04,,COMNET-REV9WholeBuildingBA CourthouseVent,17.96491776,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA CourthouseElectricalEquipDef,NECB-A-Electric-Equipment,8.50356,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Court houseLightingDef,NECB-A-Lighting,1.843150685,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA CourthouseGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA CourthouseInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Bar Lounge/Leisure,255,255,255,BA Dining: Bar Lounge/Leisure_2021WABuilding Code,BA Dining: Bar Lounge/Leisure_2021WABuilding CodeScheduleSet,1.076391505,161.1957796,97,120,0.5,COMNET-REV9WholeBuildingBA Dining: Bar Lounge/LeisurePeopleDef,NECB-B-Occupancy,BA Dining: Bar Lounge/LeisureActivity,,4.39E-04,,COMNET-REV9WholeBuildingBA Dining: Bar Lounge/LeisureVent,14.16604173,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Dining: Bar Lounge/LeisureElectricalEquipDef,NECB-B-Electric-Equipment,8.50356,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining: Bar lounge/leisureLightingDef,NECB-B-Lighting,188.7386301,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Dining: Bar Lounge/LeisureGasEquipDef,RestaurantFastFood BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA Dining: Bar Lounge/LeisureInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Cafeteria/Fast Food,255,255,255,BA Dining: Cafeteria/Fast Food_2021WABuilding Code,BA Dining: Cafeteria/Fast Food_2021WABuilding CodeScheduleSet,1.076391505,161.1957796,97,120,0.5,COMNET-REV9WholeBuildingBA Dining: Cafeteria/Fast FoodPeopleDef,NECB-B-Occupancy,BA Dining: Cafeteria/Fast FoodActivity,,4.39E-04,,COMNET-REV9WholeBuildingBA Dining: Cafeteria/Fast FoodVent,14.72897307,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Dining: Cafeteria/Fast FoodElectricalEquipDef,NECB-B-Electric-Equipment,7.75008,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining: Cafeteria/fast foodLightingDef,NECB-B-Lighting,188.7386301,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Dining: Cafeteria/Fast FoodGasEquipDef,RestaurantFastFood BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA Dining: Cafeteria/Fast FoodInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dining: Family,255,255,255,BA Dining: Family_2021WABuilding Code,BA Dining: Family_2021WABuilding CodeScheduleSet,0.768851075,161.1957796,97,120,0.5,COMNET-REV9WholeBuildingBA Dining: FamilyPeopleDef,NECB-B-Occupancy,BA Dining: FamilyActivity,,3.35E-04,,COMNET-REV9WholeBuildingBA Dining: FamilyVent,13.5948959,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Dining: FamilyElectricalEquipDef,NECB-B-Electric-Equipment,7.64244,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining: FamilyLightingDef,NECB-B-Lighting,188.7386301,0.05,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Dining: FamilyGasEquipDef,RestaurantSitDown BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA Dining: FamilyInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Dormitory,255,255,255,BA Dormitory_2021WABuilding Code,BA Dormitory_2021WABuilding CodeScheduleSet,0.107639151,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA DormitoryPeopleDef,NECB-G-Occupancy,BA DormitoryActivity,,5.19E-05,,COMNET-REV9WholeBuildingBA DormitoryVent,21.05575352,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA DormitoryElectricalEquipDef,NECB-G-Electric-Equipment,4.95144,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2DormitoryLightingDef,NECB-G-Lighting,7.495479452,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA DormitoryGasEquipDef,ApartmentMidRise EQP_APT_SCH,2.32E-05,PNNL-NECB 2011BA DormitoryInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Exercise Center,255,255,255,BA Exercise Center_2021WABuilding Code,BA Exercise Center_2021WABuilding CodeScheduleSet,0.107639151,527.5498242,97,120,0.394444444,COMNET-REV9WholeBuildingBA Exercise CenterPeopleDef,NECB-B-Occupancy,BA Exercise CenterActivity,,1.23E-04,,COMNET-REV9WholeBuildingBA Exercise CenterVent,7.257591105,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Exercise CenterElectricalEquipDef,NECB-B-Electric-Equipment,7.21188,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Exercise centerLightingDef,NECB-B-Lighting,0.245753425,0.05,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Exercise CenterGasEquipDef,HotelSmall ExerciseCenter_Eqp_Sch,2.32E-05,PNNL-NECB 2011BA Exercise CenterInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Fire Station,255,255,255,BA Fire Station_2021WABuilding Code,BA Fire Station_2021WABuilding CodeScheduleSet,0.326179244,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Fire StationPeopleDef,NECB-F-Occupancy,BA Fire StationActivity,,9.91E-05,,COMNET-REV9WholeBuildingBA Fire StationVent,16.58041368,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Fire StationElectricalEquipDef,NECB-F-Electric-Equipment,5.81256,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Fire stationLightingDef,NECB-F-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Fire StationGasEquipDef,NECB-F-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Fire StationInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Gymnasium,255,255,255,BA Gymnasium_2021WABuilding Code,BA Gymnasium_2021WABuilding CodeScheduleSet,0.326179244,527.5498242,97,120,0.394444444,COMNET-REV9WholeBuildingBA GymnasiumPeopleDef,NECB-B-Occupancy,BA GymnasiumActivity,,0.000141584,,COMNET-REV9WholeBuildingBA GymnasiumVent,7.257591105,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA GymnasiumElectricalEquipDef,NECB-B-Electric-Equipment,8.073,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2GymnasiumLightingDef,NECB-B-Lighting,0.245753425,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA GymnasiumGasEquipDef,SchoolSecondary BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA GymnasiumInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
